#,Bowl Name,Favorite,Underdog,Spread,Barkside Ballers,Vibe-free since '73,Dazed and Confoosballed,Sascha Picks Dogs,The New Mendoza Line,Sherrone Moore's Bad Day,Momma Longhorn,bugaroo,Sierra LeCat Dowdle,Battered Austin Syndrome,Arandas legacy Year,Mama Dawg,NoNND-Bo 1,NoNND-Bo 2,Wisconsin shoud've been here,Bearly Watching,Call Me An Optimist,Down,Eclipse,First Round SIL,#MamaBear,BlueOrRed,Just Call Me Dr.,Not So New Guy,Upside,We Pay Players,Game of Throws

1,CFP First Round,Oklahoma,Alabama,1.5,Alabama,Alabama,Alabama,Alabama,Oklahoma,Alabama,Oklahoma,Alabama,Alabama,Alabama,Oklahoma,Alabama,Oklahoma,Alabama,Oklahoma,Oklahoma,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Oklahoma,Oklahoma,Alabama,Oklahoma
2,CFP First Round,Texas A&M,Miami,3.5,Miami,Miami,Texas A&M,Miami,Texas A&M,Miami,Texas A&M,Texas A&M,Miami,Miami,Texas A&M,Miami,Texas A&M,Miami,Miami,Miami,Miami,Miami,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M
3,CFP First Round,Ole Miss,Tulane,17.5,Tulane,Ole Miss,Ole Miss,Tulane,Tulane,Ole Miss,Ole Miss,Ole Miss,Tulane,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Tulane,Ole Miss,Ole Miss,Tulane,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss
4,CFP First Round,Oregon,James Madison,21.5,Oregon,Oregon,Oregon,James Madison,Oregon,James Madison,Oregon,Oregon,James Madison,Oregon,Oregon,Oregon,Oregon,James Madison,James Madison,Oregon,James Madison,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
5,CFP Quarterfinal (Cotton),Ohio State,Miami,0.0,Ohio State,Ohio State,Ohio State,Miami,Ohio State,Miami,Ohio State,Ohio State,Ohio State,Ohio State,Miami,Ohio State,Ohio State,Miami,Ohio State,Ohio State,Miami,Ohio State,Ohio State,Miami,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Miami,Ohio State
6,CFP Quarterfinal (Orange),Texas Tech,Oregon,0.0,Oregon,Texas Tech,Texas Tech,Oregon,Texas Tech,Oregon,Texas Tech,Texas Tech,Oregon,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Oregon,Texas Tech,Texas Tech,Oregon,Texas Tech,Texas Tech,Oregon,Texas Tech,Oregon,Oregon,Oregon,Oregon,Texas Tech,Texas Tech
7,CFP Quarterfinal (Rose),Indiana,Alabama,0.0,Alabama,Indiana,Indiana,Alabama,Alabama,Indiana,Alabama,Indiana,Indiana,Indiana,Indiana,Alabama,Indiana,Alabama,Indiana,Alabama,Alabama,Indiana,Indiana,Indiana,Indiana,Alabama,Alabama,Indiana,Indiana,Alabama,Indiana
8,CFP Quarterfinal (Sugar),Georgia,Ole Miss,0.0,Georgia,Georgia,Georgia,Ole Miss,Georgia,Ole Miss,Georgia,Georgia,Ole Miss,Georgia,Ole Miss,Georgia,Georgia,Ole Miss,Georgia,Georgia,Ole Miss,Georgia,Georgia,Georgia,Ole Miss,Ole Miss,Georgia,Georgia,Georgia,Georgia,Georgia
9,CFP Semifinal (Fiesta),Miami,Ole Miss,0.0,Ole Miss,Miami,Miami,Ole Miss,Miami,Ole Miss,Miami,Miami,Miami,Miami,Miami,Ole Miss,Miami,Ole Miss,Miami,Miami,Ole Miss,Miami,Ole Miss,Ole Miss,Miami,Miami,Miami,Miami,Ole Miss,Miami,Miami
10,CFP Semifinal (Peach),Texas Tech/ORE/JM,Indiana/AL/OK,0.0,Indiana/AL/OK,Indiana/AL/OK,Texas Tech/ORE/JM,Indiana/AL/OK,Indiana/AL/OK,Texas Tech/ORE/JM,Texas Tech/ORE/JM,Texas Tech/ORE/JM,Texas Tech/ORE/JM,Texas Tech/ORE/JM,Indiana/AL/OK,Indiana/AL/OK,Texas Tech/ORE/JM,Indiana/AL/OK,Texas Tech/ORE/JM,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Indiana/AL/OK,Texas Tech/ORE/JM
11,NATIONAL CHAMPIONSHIP,Winner of Peach Bowl,Winner of Fiesta Bowl,0.0,Winner of Fiesta Bowl,Winner of Peach Bowl,Winner of Peach Bowl,Winner of Fiesta Bowl,Winner of Peach Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Peach Bowl,Winner of Fiesta Bowl,Winner of Peach Bowl,Winner of Peach Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Peach Bowl,Winner of Peach Bowl,Winner of Peach Bowl,Winner of Peach Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Peach Bowl,Winner of Peach Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl,Winner of Fiesta Bowl
B1,How many TD's will Marcel Reed run for?, , , ,1,1,1,0,2,1,2,2,1,0,3,2,2,0,1,2,2,2,4,4,0,3,1,1,1,0,4
B2,How many times will Carson Beck be sacked?, , , ,3,3,3,1,3,2,2,1,3,2,5,3,3,0,2,2,4,2,0,3,3,3,2,4,3,2,3
B3,Will JMU score more than 14 points?, , , ,NO,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO

